time,QA:1,force:1,pA:1,pos:1
0.293923311,0.000106339,7261.879483,2638423.687,0.009927228
0.29843122,0.000107213,6551.831691,2375422.82,0.010136432
0.302939128,0.000107666,6193.401659,2240183.379,0.010327765
0.307447037,0.000107672,6199.753353,2237028.574,0.010499895
0.311954946,0.000107264,6559.375968,2361249.369,0.010652834
0.316462855,0.000106465,7236.825714,2599659.429,0.010787893
0.320970764,0.000105351,8175.19153,2931701.13,0.010907555
0.325478673,0.000103988,9300.410094,3331086.236,0.011015265
0.329986582,0.000102483,10527.01787,3767801.243,0.011115157
0.334494491,0.000100929,11764.97549,4210369.496,0.011211745
0.3390024,9.94449E-05,12926.7655,4628143.051,0.011309583
0.343510309,9.81249E-05,13934.13544,4993476.247,0.011412956
0.348018217,9.7067E-05,14723.69216,5283567.555,0.011525579
0.35,9.67006E-05,14990.82171,5383193.01,0.011578742
0.35,9.67007E-05,14990.82171,5383193.01,0.011578742
0.35,9.67007E-05,14990.82171,5383193.01,0.011578742
0.351193079,9.65253E-05,15115.63728,5430487.079,0.011612464
0.353579237,9.62284E-05,15324.60228,5510723.923,0.011681912
0.355965395,9.60386E-05,15451.94534,5561964.083,0.011755451
0.359540407,9.59562E-05,15490.20851,5584112.103,0.011873548
0.36383264,9.6169E-05,15304.04002,5526788.934,0.01202787
0.368124873,9.66925E-05,14887.32636,5385137.577,0.012195243
0.372417105,9.74773E-05,14276.21104,5171401.964,0.012374289
0.376709338,9.84587E-05,13516.47158,4901648.261,0.012562975
0.381001571,9.95641E-05,12660.27289,4594616.833,0.012758768
0.385293804,0.000100718,11762.88284,4270488.902,0.012958808
0.389586037,0.000101847,10879.4931,3949638.582,0.013160097
0.39387827,0.000102885,10062.23849,3651431.666,0.013359676
0.398170503,0.000103776,9357.486933,3393127.323,0.013554808
0.402462736,0.000104475,8803.478669,3188936.566,0.013743129
0.407782789,0.000105029,8367.619386,3026345.079,0.013964319
0.413102841,0.000105211,8233.108675,2972611.2,0.014170072
0.418422894,0.000105024,8400.12341,3027769.91,0.014359688
0.423742946,0.0001045,8840.626976,3181684.346,0.014534005
0.429062999,0.0001037,9501.55035,3415370.398,0.014695257
0.434383051,0.000102706,10310.52943,3703135.279,0.01484681
0.439703104,0.000101617,11183.66263,4015307.607,0.014992786
0.445023157,0.000100538,12034.3917,4321263.486,0.015137644
0.450343209,9.95719E-05,12782.42091,4592428.975,0.015285731
0.455663262,9.88082E-05,13361.5695,4804944.398,0.01544088
0.460983314,9.83136E-05,13725.63394,4941721.519,0.015606066
0.466303367,9.81249E-05,13851.70513,4993713.91,0.015783171
0.471623419,9.82461E-05,13740.8039,4960323.932,0.015972861
0.476943472,9.86493E-05,13416.07823,4848972.948,0.016174594
0.482263524,9.92797E-05,12919.07005,4673948.476,0.016386734
0.487583577,0.000100064,12304.66594,4454695.592,0.016606757
0.49290363,0.000100918,11635.33553,4213748.875,0.016831536
0.498223682,0.00010176,10975.20486,3974515.543,0.017057657
0.503543735,0.000102512,10384.39443,3759103.421,0.017281748
0.508863787,0.000103111,9913.975161,3586370.111,0.017500787
0.51418384,0.000103511,9601.858632,3470348.751,0.017712364
0.519503892,0.000103687,9469.89469,3419170.044,0.017914877
0.524823945,0.000103634,9522.406724,3434559.85,0.018107644
0.530143997,0.000103367,9746.320275,3511944.085,0.018290925
0.53546405,0.000102921,10112.9141,3641137.158,0.01846586
0.540784102,0.000102343,10581.06256,3807536.969,0.018634318
0.547318694,0.000101544,11219.8209,4036099.162,0.018836062
0.55,0.000101211,11483.46397,4130904.083,0.018918165
0.55,0.000101211,11483.46397,4130904.083,0.018918165
0.55,0.000101211,11483.46397,4130904.083,0.018918165
0.551723026,0.000101003,11646.57841,4189786.014,0.018970991
0.555169077,0.000100604,11958.63715,4302709.185,0.019077119
0.558615128,0.000100244,12236.76428,4403921.614,0.01918452
0.564553656,9.97598E-05,12606.41682,4539894.248,0.019374412
0.570492183,9.94812E-05,12812.02948,4617751.568,0.019572112
0.57643071,9.94315E-05,12838.97279,4631623.475,0.019778947
0.582369238,9.96043E-05,12694.29651,4583390.229,0.019995112
0.588307765,9.99664E-05,12404.4201,4482003.884,0.020219714
0.594246292,0.000100464,12010.78817,4342037.879,0.020450935
0.6,0.000101013,11578.88043,4186978.493,0.020678908
0.6,0.000101013,11578.88043,4186978.493,0.020678908
0.6,0.000101013,11578.88043,4186978.493,0.020678908
0.60026029,0.000100659,11558.08853,4179482.161,0.020689285
0.600780869,9.97427E-05,11514.86232,4163890.471,0.020710043
0.601301449,9.8712E-05,11468.17692,4147037.514,0.02073081
0.601822028,9.77366E-05,11417.97697,4128902.58,0.020751581
0.602524637,9.63951E-05,11344.83537,4102459.192,0.020779619
0.603500082,9.45556E-05,11233.25322,4062079.16,0.02081854
0.605019572,9.1694E-05,11037.21661,3991046.583,0.02087911
0.607660757,8.67552E-05,10637.19349,3845843.479,0.020983969
0.612345093,7.80001E-05,9773.713831,3531663.508,0.021166995
0.61702943,6.91593E-05,8764.19511,3163653.903,0.021343419
0.621713766,6.01231E-05,7678.330549,2767452.127,0.021509212
0.626398102,5.08336E-05,6588.667325,2369839.607,0.021660033
0.631082438,4.1254E-05,5566.837881,1997182.686,0.021791527
0.635766775,3.13969E-05,4679.791502,1673887.47,0.021899606
0.640451111,2.12929E-05,3986.149845,1420962.642,0.021980725
0.645135447,1.10098E-05,3532.730719,1254741.867,0.02203211
0.649819783,6.21999E-07,3351.477067,1185863.914,0.02205195
0.65,2.2047E-07,3350.0062,1185167.83,0.022052081
0.65,2.21503E-07,3350.0062,1185167.83,0.022052081
0.65,2.21503E-07,3350.0062,1185167.83,0.022052081
0.650353579,4.88343E-08,3351.05334,1185196.188,0.022052083
0.650471446,1.44245E-14,3351.625879,1185284.679,0.022052072
